pos_prompt,neg_prompt
"San Francisco's War Memorial Opera House is a beautiful, historic venue",Madison is the capital city of Wisconsin
The San Francisco Bay is a major estuarine system supporting diverse wildlife,"Lubbock, Texas, is home to Texas Tech University"
The Tonga Room in San Francisco is a famous tiki bar featuring a rainstorm,"Gilbert, Arizona, is known for its rapid suburban expansion"
San Francisco's AT&T Park is now known as Oracle Park,"Garland, Texas, has a rich history tied to the Dallas area"
San Francisco's Russian Hill is known for its scenic streets,"Reno, Nevada, is known as ""The Biggest Little City in the World"""
The Children's Creativity Museum in San Francisco offers interactive exhibits,"Hialeah, Florida, has a significant Cuban-American community"
The UCSF Medical Center in San Francisco is a top-ranked hospital,Scottsdale is famous for its luxury resorts and golf courses
San Francisco's Baker Beach offers clothing-optional areas,"Irvine is a master-planned city in Orange County, California"
The San Francisco Marathon is a challenging yet scenic race,Baton Rouge is the capital city of Louisiana
City Lights Booksellers & Publishers is a landmark in San Francisco,"Fremont, California, is part of the San Francisco Bay Area"
The San Francisco Botanical Garden has plants from around the world,"Spokane, Washington, is known for its beautiful riverfront park"
The San Francisco Jazz Festival attracts world-class musicians,"Santa Clarita is known for its theme park, Six Flags Magic Mountain"
San Francisco's Union Square features a large holiday ice rink,"Birmingham, Alabama, played a significant role in the Civil Rights Movement"
The Presidio in San Francisco offers hiking trails and scenic views,"Gilbert, Arizona, was once known as the ""Hay Shipping Capital of the World"""
The Metreon in San Francisco is a shopping and entertainment complex,"Rochester, New York, is known for its contributions to photography and imaging"
"The San Francisco Zoo is home to over 1,000 animals",Boise is the capital and largest city of Idaho
Fort Point in San Francisco offers historical exhibits and stunning views,North Las Vegas is one of the fastest-growing cities in Nevada
The Walt Disney Family Museum is located in San Francisco's Presidio,Winston-Salem is known for its tobacco industry history
The Museum of the African Diaspora in San Francisco explores black culture,Durham is home to Duke University
The Balmy Alley Murals in San Francisco depict various social themes,"Chula Vista, California, is known for its scenic views and family-friendly activities"
The San Francisco Cable Car System is the world's last manually operated cable car system,"Fort Wayne, Indiana, is known for its three rivers"
San Francisco's Mission Dolores is the oldest surviving structure in the city,Jersey City offers stunning views of the Manhattan skyline
The San Francisco LGBT Center offers resources and support for the community,"St. Petersburg, Florida, has beautiful beaches and cultural institutions"
The Wave Organ in San Francisco creates music with the movement of the tides,"Norfolk, Virginia, is a major naval base and port city"
The Randall Museum in San Francisco offers nature and science exhibits,"Laredo, Texas, has a rich history and strong connection to Mexico"
San Francisco's Nob Hill is known for its luxury hotels and historic buildings,"Winston-Salem, North Carolina, is noted for its blend of Southern charm and industrial progress"
The San Francisco Symphony's annual Summer Orchestra Series is a highlight,"Glendale, Arizona, hosts the annual Fiesta Bowl"
The USS Pampanito is a World War II submarine docked in San Francisco,"Garland, Texas, has strong historical ties to agriculture and manufacturing"
San Francisco's Carnaval is a lively multicultural festival,"Hialeah, Florida, is known for its vibrant Latino culture"
The Legion of Honor Museum in San Francisco features beautiful art and architecture,"Baton Rouge, Louisiana, features eclectic architecture and vibrant music scenes"
The Anchor Brewing Company is a historic brewery located in San Francisco,"Rochester, Minnesota, is home to the world-renowned Mayo Clinic"
